"searchResultsLargeThumbnail href","s-image src","action href","classifiedTitle","titleIcon href","titleIcon src","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsDateValue","searchResultsDateValue 2","searchResultsLocationValue"
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-investpartner-gecitpark-evleri-kiralik-3-plus1-kose-bahce-dubleks-1304979284/detay","https://image5.sahibinden.com/primeRow/97/92/84/pr_thmb_1304979284g7a.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","INVESTPARTNER | GEÇİTPARK EVLERİ KİRALIK 3+1 KÖŞE BAHÇE DUBLEKS","https://investpartner.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","250","3+1","60.000 TL","12 Mart","2026","AtaevlerAhmet Yesevi Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-bursa-kumova-adres-balat-kiralik-1298864629/detay","https://i0.shbdn.com/photos/86/46/29/lthmb_1298864629n2f.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","BURSA KUMOVA ADRES BALAT KİRALIK","https://izzettinyorukgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","232","4+1","100.000 TL","10 Mart","2026","AtaevlerAhmet Yesevi Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-cemal-emlak-bursa-nilufer-cumhuriyet-mh-full-esyali-asan.3-plus1-bak-1302835870/detay","https://i0.shbdn.com/photos/83/58/70/lthmb_130283587003n.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","CEMAL EMLAK BURSA NİLÜFER CUMHURİYET MH FULL EŞYALI ASAN.3+1 BAK","https://cemal-emlak.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","135","3+1","35.000 TL","15 Mart","2026","AtaevlerCumhuriyet Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-besevler-de-site-ici-kiralik-3-plus1-arakat-park-a-cephe-genis-daire-1297122513/detay","https://i0.shbdn.com/photos/12/25/13/lthmb_1297122513j0c.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","BEŞEVLER'DE SİTE İÇİ KİRALIK 3+1 ARAKAT PARK'A CEPHE GENİŞ DAİRE","https://himaxgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","160","3+1","24.500 TL","15 Mart","2026","BeşevlerBeşevler Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-nilufer-ataevler-yukselenpark-ozlem-2-sitesi-3-plus1-kiralik-daire-1302436823/detay","https://i0.shbdn.com/photos/43/68/23/lthmb_1302436823dau.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","NİLÜFER ATAEVLER YÜKSELENPARK ÖZLEM 2 SİTESİ 3+1 KİRALIK DAİRE","https://himaxgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","145","3+1","43.000 TL","13 Mart","2026","AtaevlerBarış Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-besevler-de-metroya-yakin-manzarali-3-plus1-daire-1290294785/detay","https://i0.shbdn.com/photos/29/47/85/lthmb_1290294785w0a.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","Beşevler'de Metroya Yakın Manzaralı 3+1 Daire","https://gulecgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","202","3+1","40.000 TL","12 Mart","2026","BeşevlerBeşevler Mh."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-ygo-dan-besevler-konak-merkezde-metro-ya-yakin-2-plus1-kiralik-daire-1296137513/detay","https://i0.shbdn.com/photos/13/75/13/lthmb_1296137513wov.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","YGO'DAN BEŞEVLER KONAK MERKEZDE METRO'YA YAKIN 2+1 KİRALIK DAİRE","https://yatirimcimgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","130","2+1","21.000 TL","17 Mart","2026","BeşevlerKonak Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-podyum-park-karsisi-esyali-kiralik-daire-1291657430/detay","https://i0.shbdn.com/photos/65/74/30/lthmb_129165743015z.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","PODYUM PARK KARŞISI EŞYALI KİRALIK DAİRE","https://dustdust.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","165","3+1","50.000 TL","17 Mart","2026","AtaevlerCumhuriyet Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-faturalar-dahil-esyali-7-24-guvenlik-kamerasi-1294843536/detay","https://i0.shbdn.com/photos/84/35/36/lthmb_12948435369mt.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","SAHİBİNDEN FATURALAR DAHİL EŞYALI 7/24 GÜVENLİK KAMERASI","","","22","Stüdyo (1+0)","12.000 TL","17 Mart","2026","AtaevlerFethiye Mah."
"https://www.sahibinden.com/ilan/emlak-konut-kiralik-atabulvarinda-modda-office-suites-kiralik-1-plus1-esyali-daire-1305767978/detay","https://i0.shbdn.com/photos/76/79/78/lthmb_13057679789oh.jpg","https://www.sahibinden.com/kiralik?address_district=884&address_district=886&address_town=189&address_city=16#","ATABULVARINDA MODDA OFFİCE SUİTES KİRALIK 1+1 EŞYALI DAİRE","https://insuprestijgayrimenkul.sahibinden.com/","https://s0.shbdn.com/assets/images/iconStore@2x:c1d32ca031d86c6735fd31957ee635cd.png","77","1+1","25.000 TL","16 Mart","2026","AtaevlerIşıktepe Mh."
